FA_year,name,team,position,contractValue,contractDuration,avg_war,avg_games,avg_pa/ip,avg_k,avg_b,avg_babip,OPS/FIP,age,BirthPlace,experience,college
2017,Carlos Gonzalez,Rockies,OF,"$8,000,000",1,1.8,146.3,591.3,21.5,8.5,0.3,0.8,32,"Maracaibo, Venezuela",9,None
2017,Jarrod Dyson,Diamondbacks,OF,"$7,500,000",2,2.1,102.7,317.3,14.0,7.0,0.3,0.7,33,"Mccomb, MS",7,Southwest Mississippi CC
2017,Brian Duensing,Cubs,P,"$7,000,000",2,0.1,45.7,41.1,6.7,2.8,0.3,4.2,34,"Marysville, KS",8,Nebraska
2017,Howie Kendrick,Nationals,OF,"$7,000,000",2,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,34,"Jacksonville, FL",11,St. John's River State CC
2017,Jonathan Lucroy,Athletics,C,"$6,500,000",1,2.3,122.7,480.0,14.7,9.5,0.3,0.8,31,"Eustis, FL",7,Louisiana
2017,Logan Morrison,Twins,1B,"$6,500,000",1,1.2,134.0,503.3,21.0,10.7,0.3,0.8,30,"Kansas City, MO",7,Maple Woods CC
2017,Mike Moustakas,Royals,3B,"$6,500,000",1,2.2,107.3,441.7,13.2,6.9,0.3,0.8,29,"Los Angeles, CA",6,None
2017,Mike Fiers,Tigers,P,"$6,000,000",1,1.4,30.3,167.1,8.4,3.0,0.3,4.5,32,"Hollywood, FL",6,Nova Southeastern
2017,Austin Jackson,Giants,OF,"$6,000,000",2,1.2,91.7,349.3,21.8,7.6,0.3,0.7,30,"Denton, TX",7,None
2017,Matt Albers,Brewers,P,"$5,000,000",2,0.1,50.3,49.7,7.1,2.7,0.3,4.2,34,"Houston, TX",11,San Jacinto Coll. TX (J.C.)
2017,Curtis Granderson,Blue Jays,OF,"$5,000,000",1,3.5,151.3,614.0,22.6,13.0,0.2,0.8,36,"Blue Island, IL",14,UIC
2017,David Hernandez,Reds,P,"$5,000,000",2,0.4,58.0,53.2,8.8,2.3,0.3,3.9,32,"Sacramento, CA",7,Cosumnes River  (CA)
2017,Miguel Gonzalez,White Sox,P,"$4,750,000",1,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,33,"Guadalajara, Mexico",5,Mission CC (CA)
2017,Jared Hughes,Reds,P,"$4,500,000",2,0.1,70.0,61.8,5.7,3.2,0.3,4.1,32,"Stamford, CT",6,Long Beach State
2017,Fernando Rodney,Twins,P,"$4,500,000",1,0.4,65.3,60.6,10.0,4.3,0.3,3.8,40,"Santa Barbara de Samana, Dominican Republic",14,None
2017,Craig Stammen,Padres,P,"$4,500,000",2,0.1,32.5,42.0,7.5,4.9,0.2,4.1,33,"North Star, OH",7,Dayton
2017,Matt Adams,Nationals,1B,"$4,000,000",1,0.5,103.0,293.3,25.4,6.7,0.3,0.8,29,"Philipsburg, PA",5,Slippery Rock
2017,Doug Fister,Rangers,P,"$4,000,000",1,0.9,25.0,124.4,6.5,3.0,0.3,4.4,33,"Merced, CA",8,Fresno State
2017,Carlos Gomez,Rays,OF,"$4,000,000",1,1.3,112.7,452.0,26.0,7.2,0.3,0.7,32,"Santiago, Dominican Republic",10,None
2017,Francisco Liriano,Tigers,P,"$4,000,000",1,1.6,33.3,148.3,8.7,4.5,0.3,4.3,34,"San Cristobal, Dominican Republic",11,None
2017,Eduardo Nunez,Red Sox,3B,"$4,000,000",1,2.0,109.0,430.0,13.5,4.8,0.3,0.8,30,"Santo Domingo, Dominican Republic",7,None
2017,Neil Walker,Yankees,2B,"$4,000,000",1,2.8,125.0,503.0,18.1,11.1,0.3,0.8,32,"Pittsburgh, PA",8,None
2017,Lucas Duda,Royals,1B,"$3,500,000",1,1.5,103.0,405.7,25.5,11.2,0.2,0.8,31,"Riverside, CA",7,USC
2017,Cameron Maybin,Marlins,OF,"$3,250,000",1,1.6,116.3,465.3,20.4,8.6,0.3,0.7,30,"Asheville, NC",10,None
2017,Bud Norris,Cardinals,P,"$3,000,000",1,0.5,44.3,85.5,9.1,3.7,0.3,4.2,32,"Greenbrae, CA",8,Cal Poly
2017,Chris Tillman,Orioles,P,"$3,000,000",1,1.1,28.3,146.0,6.6,3.9,0.3,5.2,29,"Fountain Valley, CA",8,None
2017,Rene Rivera,Angels,C,"$2,800,000",1,0.2,83.0,254.3,28.5,6.5,0.3,0.7,34,"Bayamon, Puerto Rico",8,None
2017,Seunghwan Oh,Rangers,P,"$2,750,000",1,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,35,"Jeon-Ju, South Korea",1,None
2017,Alcides Escobar,Royals,SS,"$2,500,000",1,0.7,157.3,657.7,13.9,3.4,0.3,0.6,30,"Guayana, Venezuela",9,None
2017,Nick Hundley,Giants,C,"$2,500,000",1,1.1,95.7,336.3,22.2,5.8,0.3,0.8,34,"Corvallis, OR",9,Arizona
2017,Boone Logan,Brewers,P,"$2,500,000",1,0.5,54.7,34.1,11.4,4.0,0.3,3.3,33,"San Antonio, TX",11,None
2017,Sergio Romo,Rays,P,"$2,500,000",1,0.8,55.0,47.5,10.1,2.5,0.3,3.6,34,"Brawley, CA",9,Mesa State
2017,Anibal Sanchez,Twins,P,"$2,500,000",1,0.7,29.3,138.4,8.2,2.8,0.3,5.0,33,"Maracay, Venezuela",11,None
2017,Zach Duke,Twins,P,"$2,150,000",1,0.2,59.7,46.2,8.9,4.1,0.3,3.9,34,"Clifton, TX",12,None
2017,Yovani Gallardo,Brewers,P,"$2,000,000",1,1.0,28.0,144.1,6.3,4.0,0.3,4.9,31,"Michoacan, Mexico",10,None
2017,Tom Koehler,Dodgers,P,"$2,000,000",1,0.4,30.7,145.2,7.7,4.0,0.3,4.8,31,"Bronx, NY",5,Stony Brook
2017,Jose Reyes,Mets,SS,"$2,000,000",1,1.4,107.0,453.0,13.8,6.7,0.3,0.7,34,"Villa Gonzalez, Dominican Republic",14,None
2017,Chase Utley,Dodgers,2B,"$2,000,000",2,1.1,124.0,447.0,17.4,7.8,0.3,0.7,38,"Pasadena, CA",14,UCLA
2017,Chris Young,Angels,OF,"$2,000,000",1,0.5,102.0,286.3,20.8,9.5,0.3,0.8,34,"Houston, TX",11,None
2017,Leonys Martin,Tigers,OF,"$1,750,000",1,0.9,95.7,341.3,24.2,8.9,0.3,0.6,29,"Villa Clara, Cuba",6,None
2017,Wily Peralta,Royals,P,"$1,525,000",1,0.4,20.7,97.5,6.6,3.7,0.3,5.0,28,"Santa Barbara de Samana, Dominican Republic",6,None
2017,Tony Barnette,Rangers,P,"$1,500,000",1,0.7,51.5,58.6,8.1,2.9,0.3,3.7,34,"Anchorage, AK",1,Arizona State
2017,Jesse Chavez,Rangers,P,"$1,500,000",1,0.9,43.3,120.4,8.0,2.7,0.3,4.4,34,"San Gabriel, CA",10,Riverside CC
2017,Michael Saunders,Royals,OF,Minor Lg,1,0.3,74.0,276.0,24.9,10.2,0.3,0.6,31,"Victoria, BC",8,None
2017,Peter Bourjos,Cubs,OF,"$1,450,000",1,0.1,113.3,270.3,25.4,6.2,0.3,0.7,30,"Park Ridge, IL",7,None
2017,Erick Aybar,Twins,SS,"$1,250,000",1,-0.1,130.0,489.0,13.7,7.2,0.3,0.6,33,"Bani, Dominican Republic",11,None
2017,Trevor Cahill,Athletics,P,"$1,250,000",1,0.1,32.3,64.1,8.4,4.6,0.3,5.1,29,"Oceanside, CA",8,None
2017,Joaquin Benoit,Nationals,P,"$1,000,000",1,0.3,56.7,54.2,8.1,4.4,0.3,4.7,40,"Santiago, Dominican Republic",15,None
2017,Jordan Lyles,Padres,P,"$1,000,000",1,0.3,29.3,58.8,6.3,3.5,0.3,4.9,27,"Hartsville, SC",6,None
2017,Craig Gentry,Orioles,OF,Minor Lg,1,-0.3,39.0,70.7,20.9,8.1,0.2,0.5,34,"Fort Smith, AR",8,Arkansas
2017,T.J. McFarland,Diamondbacks,P,"$850,000",1,-0.1,29.7,39.4,4.4,3.5,0.3,4.7,28,"Palos Hills, IL",4,None
2017,Fernando Abad,Phillies,P,Minor Lg,,-0.0,55.7,45.5,8.1,4.0,0.3,4.5,31,"La Romana, Dominican Republic",7,None
2017,Cristhian Adames,Marlins,SS,Minor Lg,,-0.5,53.0,109.3,26.8,7.2,0.2,0.4,26,"Santo Domingo, Dominican Republic",3,None
2017,Hanser Alberto,Rangers,SS,Minor Lg,,-0.5,53.0,109.3,26.8,7.2,0.2,0.4,25,"San Francisco de Macoris, Dominican Republic",1,None
